,urls
0,https://futurice.com/blog/the-future-talks-moneycorp
1,https://futurice.com/blog/dreaming-up-global-cloud-app-fabric-in-2018
2,https://futurice.com/blog/my-takeaways-from-slush-2017
3,https://futurice.com/blog/elenia-wins-charge
4,https://futurice.com/blog/data-science-at-slush-2016
5,https://futurice.com/blog/creating-tomorrows-energy-industry
6,https://futurice.com/blog/data-helps-energy-companies-build-better-services
7,https://futurice.com/blog/wartsila-innovation-culture
8,https://futurice.com/blog/digital-transformation-automotive-germany
9,https://futurice.com/blog/pepperoni-our-open-source-blueprint-for-mobile-development
10,https://futurice.com/blog/kaggle-data-science-meetup-at-futurice
11,https://futurice.com/blog/futurice-at-interaction16
12,https://futurice.com/blog/key-features
13,https://futurice.com/blog/to-innovate-is-to-hustle
14,https://futurice.com/blog/scaling-agility
15,https://futurice.com/blog/healthcares-digital-future
16,https://futurice.com/blog/flou-the-future-of-digital-media
17,https://futurice.com/blog/suomi24-data-science-hackathon-results-and-afterthoughts
18,https://futurice.com/blog/your-digital-service-is-your-marketing
19,https://futurice.com/blog/predictive-interfaces-bring-more-intelligence-to-software
20,https://futurice.com/blog/mobile-application-analytics-why-you-dont-want-to-miss-out
21,https://futurice.com/blog/lets-not-only-watch-or-follow-trends-lets-lead-them
22,https://futurice.com/blog/how-does-automatic-learning-of-customer-preferences-improve-your-business
23,https://futurice.com/blog/a-swift-outlook
24,https://futurice.com/blog/the-future-is-digital-and-full-of-data
25,https://futurice.com/blog/the-recipe-for-successful-digital-services
26,https://futurice.com/blog/lean-service-creation-part-1
27,https://futurice.com/blog/the-power-of-familiarity-day-one-at-slush
